Steps,remove_all
1,10/585 (1.7%)
2,25/585 (4.3%)
3,16/585 (2.7%)
4,13/585 (2.2%)
32,11/585 (1.9%)
64,12/585 (2.1%)
96,11/585 (1.9%)
128,14/585 (2.4%)
